MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/22/2025 14:53:15,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,0,1,0,0,,,0.0
7/22/2025 14:55:24,1.17.0,Bandit100,40,4.03,3.0,20,0,100,Pellet,Right,0,1,1,0,Timed_out,,
7/22/2025 14:56:20,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,1,1,1,1,,,0.18
7/22/2025 14:56:20,1.17.0,Bandit100,40,4.03,,20,0,100,LeftinTimeOut,Right,1,1,1,1,,,
7/22/2025 14:56:34,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,2,1,1,1,,,0.7
7/22/2025 14:56:48,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,2,2,1,1,,,0.07
7/22/2025 14:56:49,1.17.0,Bandit100,40,4.03,,20,0,100,RightDuringDispense,Right,2,2,1,1,,,1.38
7/22/2025 14:56:53,1.17.0,Bandit100,40,4.03,2.0,20,0,100,Pellet,Right,2,2,2,1,0.79,89.0,
7/22/2025 14:58:48,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,2,3,2,2,,,1.0
7/22/2025 14:58:57,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,2,3,3,2,7.89,124.0,
7/22/2025 15:00:20,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,2,4,3,3,,,0.15
7/22/2025 15:00:21,1.17.0,Bandit100,40,4.03,,20,0,100,RightDuringDispense,Right,2,4,3,3,,,0.55
7/22/2025 15:00:29,1.17.0,Bandit100,40,4.02,2.0,20,0,100,Pellet,Right,2,4,4,3,5.22,92.0,
7/22/2025 15:01:27,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,3,4,4,4,,,0.16
7/22/2025 15:03:41,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,4,4,4,4,,,0.09
7/22/2025 15:03:41,1.17.0,Bandit100,40,4.03,,20,0,100,LeftinTimeOut,Right,4,4,4,4,,,
7/22/2025 15:04:06,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,5,4,4,4,,,0.13
7/22/2025 15:04:08,1.17.0,Bandit100,40,4.03,,20,0,100,RightinTimeout,Right,5,4,4,4,,,0.0
7/22/2025 15:04:08,1.17.0,Bandit100,40,4.03,,20,0,100,RightinTimeout,Right,5,4,4,4,,,0.0
7/22/2025 15:05:22,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,6,4,4,4,,,0.36
7/22/2025 15:06:46,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,6,5,4,4,,,0.24
7/22/2025 15:06:52,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,6,5,5,4,5.54,383.0,
7/22/2025 15:08:40,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,7,5,5,5,,,0.2
7/22/2025 15:24:48,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,7,6,5,5,,,0.03
7/22/2025 15:24:55,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,7,6,6,5,5.73,1083.0,
7/22/2025 15:30:09,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,7,7,6,6,,,0.32
7/22/2025 15:30:16,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,7,7,7,6,6.43,321.0,
7/22/2025 15:31:41,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,7,8,7,7,,,0.14
7/22/2025 15:31:43,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,7,8,8,7,1.35,87.0,
7/22/2025 15:34:24,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,8,8,8,8,,,0.17
7/22/2025 15:34:25,1.17.0,Bandit100,40,4.03,,20,0,100,LeftinTimeOut,Right,8,8,8,8,,,
7/22/2025 15:35:06,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,8,9,8,8,,,0.06
7/22/2025 15:35:10,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,8,9,9,8,3.64,207.0,
7/22/2025 16:16:29,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,9,9,9,9,,,0.0
7/22/2025 16:19:05,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,9,10,9,9,,,0.23
7/22/2025 16:19:08,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,9,10,10,9,2.11,2638.0,
7/22/2025 16:19:50,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,9,11,10,10,,,0.31
7/22/2025 16:19:52,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,9,11,11,10,1.35,44.0,
7/22/2025 16:20:31,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,9,12,11,11,,,0.04
7/22/2025 16:20:31,1.17.0,Bandit100,40,4.03,,20,0,100,RightDuringDispense,Right,9,12,11,11,,,0.01
7/22/2025 16:20:38,1.17.0,Bandit100,40,4.03,3.0,20,0,100,Pellet,Right,9,12,12,11,2.18,46.0,
7/22/2025 16:21:15,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,9,13,12,12,,,0.28
7/22/2025 16:21:18,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,9,13,13,12,2.05,40.0,
7/22/2025 16:23:22,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,9,14,13,13,,,0.61
7/22/2025 16:23:23,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,9,14,14,13,0.66,125.0,
7/22/2025 16:23:47,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,9,15,14,14,,,0.19
7/22/2025 16:23:50,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,9,15,15,14,1.80,27.0,
7/22/2025 16:24:29,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,10,15,15,15,,,0.96
7/22/2025 16:24:31,1.17.0,Bandit100,40,4.03,,20,0,100,LeftinTimeOut,Right,10,15,15,15,,,
7/22/2025 16:25:08,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,10,16,15,15,,,0.47
7/22/2025 16:25:10,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,10,16,16,15,1.23,80.0,
7/22/2025 16:25:37,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,10,17,16,16,,,0.59
7/22/2025 16:25:38,1.17.0,Bandit100,40,4.03,2.0,20,0,100,Pellet,Right,10,17,17,16,0.66,28.0,
7/22/2025 16:26:25,1.17.0,Bandit100,40,4.03,,20,0,100,Left,Right,11,17,17,17,,,0.1
7/22/2025 16:27:00,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,11,18,17,17,,,0.0
7/22/2025 16:27:02,1.17.0,Bandit100,40,4.02,1.0,20,0,100,Pellet,Right,11,18,18,17,1.35,84.0,
7/22/2025 16:28:09,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,11,19,18,18,,,0.48
7/22/2025 16:28:11,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,11,19,19,18,1.42,69.0,
7/22/2025 16:28:53,1.17.0,Bandit100,40,4.03,,20,0,100,Right,Right,11,20,19,19,,,0.37
7/22/2025 16:28:55,1.17.0,Bandit100,40,4.03,1.0,20,0,100,Pellet,Right,11,20,20,19,1.04,44.0,
7/22/2025 16:29:26,1.17.0,Bandit100,40,4.03,,20,100,0,Right,Left,11,21,20,0,,,0.5
7/22/2025 16:29:31,1.17.0,Bandit100,40,4.03,,20,100,0,RightinTimeout,Left,11,21,20,0,,,0.0
7/22/2025 16:29:35,1.17.0,Bandit100,40,4.03,,20,100,0,RightinTimeout,Left,11,21,20,0,,,0.0
