MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/28/2025 15:41:25,1.17.0,Bandit80,40,4.19,,20,20,80,Right,Right,0,1,0,0,,,0.3
7/28/2025 15:53:23,1.17.0,Bandit80,40,4.19,1.0,20,20,80,Pellet,Right,0,1,1,0,Timed_out,,
7/28/2025 15:54:23,1.17.0,Bandit80,40,4.19,,20,20,80,Left,Right,1,1,1,1,,,0.2
7/28/2025 15:54:23,1.17.0,Bandit80,40,4.19,,20,20,80,LeftinTimeOut,Right,1,1,1,1,,,
7/28/2025 15:54:30,1.17.0,Bandit80,40,4.2,,20,20,80,LeftinTimeOut,Right,1,1,1,1,,,
7/28/2025 15:54:31,1.17.0,Bandit80,40,4.19,,20,20,80,LeftinTimeOut,Right,1,1,1,1,,,
7/28/2025 15:54:42,1.17.0,Bandit80,40,4.2,,20,20,80,Right,Right,1,2,1,1,,,0.16
7/28/2025 15:54:45,1.17.0,Bandit80,40,4.2,1.0,20,20,80,Pellet,Right,1,2,2,1,1.48,82.0,
7/28/2025 15:55:48,1.17.0,Bandit80,40,4.19,,20,20,80,Left,Right,2,2,2,2,,,0.22
7/28/2025 15:55:49,1.17.0,Bandit80,40,4.19,1.0,20,20,80,Pellet,Right,2,2,3,2,0.85,64.0,
7/28/2025 15:59:35,1.17.0,Bandit80,40,4.19,,20,20,80,Left,Right,3,2,3,3,,,0.18
7/28/2025 15:59:41,1.17.0,Bandit80,40,4.19,,20,20,80,LeftWithPellet,Right,3,2,3,3,,,0.08
7/28/2025 16:02:07,1.17.0,Bandit80,40,4.19,1.0,20,20,80,Pellet,Right,3,2,4,3,Timed_out,378.0,
7/28/2025 16:06:48,1.17.0,Bandit80,40,4.19,,20,20,80,Left,Right,4,2,4,4,,,0.02
7/28/2025 16:09:22,1.17.0,Bandit80,40,4.19,,20,20,80,Right,Right,4,3,4,4,,,0.12
7/28/2025 16:09:24,1.17.0,Bandit80,40,4.18,1.0,20,20,80,Pellet,Right,4,3,5,4,1.35,437.0,
7/28/2025 16:09:55,1.17.0,Bandit80,40,4.19,,20,20,80,Left,Right,5,3,5,5,,,0.23
7/28/2025 16:10:05,1.17.0,Bandit80,40,4.19,1.0,20,20,80,Pellet,Right,5,3,6,5,9.48,41.0,
7/28/2025 16:12:01,1.17.0,Bandit80,40,4.19,,20,20,80,Right,Right,5,4,6,6,,,0.15
