MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/24/2025 14:29:44,1.17.0,FR1,40,3.96,nan,1,Left,Left,1,0,0,0,nan,nan,0.38
7/24/2025 14:32:15,1.17.0,FR1,40,3.96,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.03
7/24/2025 14:39:19,1.17.0,FR1,40,3.96,2,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
7/24/2025 14:40:55,1.17.0,FR1,40,3.96,nan,1,Right,Left,1,2,1,0,nan,nan,0.17
7/24/2025 14:41:55,1.17.0,FR1,40,3.96,nan,1,Left,Left,2,2,1,0,nan,nan,0.33
7/24/2025 14:44:28,1.17.0,FR1,40,3.96,1,1,Pellet,Left,2,2,2,0,Timed_out,309,nan
7/24/2025 14:44:47,1.17.0,FR1,40,3.95,nan,1,Left,Left,3,2,2,0,nan,nan,0.09
7/24/2025 14:44:48,1.17.0,FR1,40,3.95,nan,1,LeftDuringDispense,Left,4,2,2,0,nan,nan,0.33
7/24/2025 14:44:52,1.17.0,FR1,40,3.96,2,1,Pellet,Left,4,2,3,0,1.42,24,nan
7/24/2025 14:45:17,1.17.0,FR1,40,3.96,nan,1,Left,Left,5,2,3,0,nan,nan,0.21
7/24/2025 14:45:21,1.17.0,FR1,40,3.96,2,1,Pellet,Left,5,2,4,0,1.48,29,nan
7/24/2025 14:45:36,1.17.0,FR1,40,3.96,nan,1,Left,Left,6,2,4,0,nan,nan,0.09
7/24/2025 14:45:37,1.17.0,FR1,40,3.95,nan,1,LeftDuringDispense,Left,7,2,4,0,nan,nan,0.02
7/24/2025 14:45:41,1.17.0,FR1,40,3.96,2,1,Pellet,Left,7,2,5,0,1.80,20,nan
7/24/2025 14:46:07,1.17.0,FR1,40,3.95,nan,1,Left,Left,8,2,5,0,nan,nan,0.07
7/24/2025 14:46:09,1.17.0,FR1,40,3.96,1,1,Pellet,Left,8,2,6,0,0.72,28,nan
7/24/2025 14:47:32,1.17.0,FR1,40,3.95,nan,1,Right,Left,8,3,6,0,nan,nan,0.18
7/24/2025 14:55:35,1.17.0,FR1,40,3.95,nan,1,Right,Left,8,4,6,0,nan,nan,0.40
7/24/2025 14:55:39,1.17.0,FR1,40,3.95,nan,1,Left,Left,9,4,6,0,nan,nan,1.51
7/24/2025 14:55:41,1.17.0,FR1,40,3.96,1,1,Pellet,Left,9,4,7,0,1.10,572,nan
7/24/2025 14:56:01,1.17.0,FR1,40,3.96,nan,1,Left,Left,10,4,7,0,nan,nan,0.38
7/24/2025 14:56:02,1.17.0,FR1,40,3.95,1,1,Pellet,Left,10,4,8,0,1.04,21,nan
7/24/2025 14:56:23,1.17.0,FR1,40,3.95,nan,1,Left,Left,11,4,8,0,nan,nan,0.10
7/24/2025 14:56:23,1.17.0,FR1,40,3.96,nan,1,LeftDuringDispense,Left,12,4,8,0,nan,nan,0.01
7/24/2025 14:56:27,1.17.0,FR1,40,3.95,2,1,Pellet,Left,12,4,9,0,1.35,25,nan
7/24/2025 14:56:45,1.17.0,FR1,40,3.96,nan,1,Left,Left,13,4,9,0,nan,nan,0.63
7/24/2025 14:56:46,1.17.0,FR1,40,3.96,1,1,Pellet,Left,13,4,10,0,0.66,19,nan
7/24/2025 14:57:16,1.17.0,FR1,40,3.96,nan,1,Left,Left,14,4,10,0,nan,nan,0.42
7/24/2025 14:57:19,1.17.0,FR1,40,3.96,2,1,Pellet,Left,14,4,11,0,0.66,33,nan
7/24/2025 14:57:44,1.17.0,FR1,40,3.95,nan,1,Left,Left,15,4,11,0,nan,nan,0.46
7/24/2025 14:57:45,1.17.0,FR1,40,3.95,1,1,Pellet,Left,15,4,12,0,0.66,26,nan
7/24/2025 15:24:34,1.17.0,FR1,40,3.95,nan,1,Left,Left,16,4,12,0,nan,nan,0.30
7/24/2025 16:00:44,1.17.0,FR1,40,3.95,3,1,Pellet,Left,16,4,13,0,Timed_out,3779,nan
7/24/2025 16:01:08,1.17.0,FR1,40,3.95,nan,1,Left,Left,17,4,13,0,nan,nan,0.00
7/24/2025 16:01:10,1.17.0,FR1,40,3.96,1,1,Pellet,Left,17,4,14,0,1.04,26,nan
7/24/2025 16:01:26,1.17.0,FR1,40,3.96,nan,1,Left,Left,18,4,14,0,nan,nan,0.22
7/24/2025 16:01:28,1.17.0,FR1,40,3.95,1,1,Pellet,Left,18,4,15,0,1.10,17,nan
7/24/2025 16:01:44,1.17.0,FR1,40,3.95,nan,1,Left,Left,19,4,15,0,nan,nan,0.23
7/24/2025 16:01:44,1.17.0,FR1,40,3.95,nan,1,LeftDuringDispense,Left,20,4,15,0,nan,nan,0.07
7/24/2025 16:01:48,1.17.0,FR1,40,3.95,2,1,Pellet,Left,20,4,16,0,1.16,21,nan
7/24/2025 16:02:05,1.17.0,FR1,40,3.95,nan,1,Left,Left,21,4,16,0,nan,nan,0.10
7/24/2025 16:02:05,1.17.0,FR1,40,3.96,nan,1,LeftDuringDispense,Left,22,4,16,0,nan,nan,0.11
7/24/2025 16:02:09,1.17.0,FR1,40,3.95,2,1,Pellet,Left,22,4,17,0,1.10,21,nan
7/24/2025 16:02:24,1.17.0,FR1,40,3.96,nan,1,Left,Left,23,4,17,0,nan,nan,0.38
7/24/2025 16:02:25,1.17.0,FR1,40,3.95,1,1,Pellet,Left,23,4,18,0,0.85,16,nan
7/24/2025 16:02:36,1.17.0,FR1,40,3.95,nan,1,Left,Left,24,4,18,0,nan,nan,0.30
7/24/2025 16:02:37,1.17.0,FR1,40,3.95,nan,1,LeftDuringDispense,Left,25,4,18,0,nan,nan,0.04
7/24/2025 16:02:37,1.17.0,FR1,40,3.96,nan,1,LeftDuringDispense,Left,26,4,18,0,nan,nan,0.18
7/24/2025 16:02:41,1.17.0,FR1,40,3.95,2,1,Pellet,Left,26,4,19,0,0.98,16,nan
7/24/2025 16:03:03,1.17.0,FR1,40,3.95,nan,1,Left,Left,27,4,19,0,nan,nan,0.31
7/24/2025 16:03:04,1.17.0,FR1,40,3.95,1,1,Pellet,Left,27,4,20,0,0.79,23,nan
7/24/2025 16:17:14,1.17.0,FR1,40,3.95,nan,1,Right,Left,27,5,20,0,nan,nan,0.06
7/24/2025 16:17:15,1.17.0,FR1,40,3.95,nan,1,Right,Left,27,6,20,0,nan,nan,0.23
7/24/2025 16:17:18,1.17.0,FR1,40,3.96,nan,1,Left,Left,28,6,20,0,nan,nan,0.71
7/24/2025 16:41:35,1.17.0,FR1,40,3.94,nan,1,LeftWithPellet,Left,29,6,20,0,nan,nan,0.40
7/24/2025 16:41:40,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,30,6,20,0,nan,nan,1.30
7/24/2025 16:41:41,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,31,6,20,0,nan,nan,0.45
7/24/2025 16:41:47,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,32,6,20,0,nan,nan,0.46
7/24/2025 16:41:48,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,33,6,20,0,nan,nan,0.35
7/24/2025 16:41:54,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,34,6,20,0,nan,nan,0.21
7/24/2025 16:41:58,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,35,6,20,0,nan,nan,0.04
7/24/2025 16:42:00,1.17.0,FR1,40,3.95,nan,1,LeftWithPellet,Left,36,6,20,0,nan,nan,0.13
7/24/2025 16:42:07,1.17.0,FR1,40,3.95,1,1,Pellet,Left,36,6,21,0,Timed_out,2343,nan
7/24/2025 16:42:16,1.17.0,FR1,40,3.95,nan,1,Left,Left,37,6,21,0,nan,nan,0.05
7/24/2025 16:42:17,1.17.0,FR1,40,3.95,1,1,Pellet,Left,37,6,22,0,0.72,10,nan
7/24/2025 16:42:40,1.17.0,FR1,40,3.95,nan,1,Right,Left,37,7,22,0,nan,nan,0.02
7/24/2025 16:42:41,1.17.0,FR1,40,3.95,nan,1,Right,Left,37,8,22,0,nan,nan,0.15
7/24/2025 16:42:45,1.17.0,FR1,40,3.95,nan,1,Left,Left,38,8,22,0,nan,nan,0.37
7/24/2025 16:42:47,1.17.0,FR1,40,3.95,1,1,Pellet,Left,38,8,23,0,0.79,29,nan
7/24/2025 16:43:02,1.17.0,FR1,40,3.95,nan,1,Left,Left,39,8,23,0,nan,nan,0.12
7/24/2025 16:43:02,1.17.0,FR1,40,3.95,nan,1,LeftDuringDispense,Left,40,8,23,0,nan,nan,0.03
7/24/2025 16:43:06,1.17.0,FR1,40,3.95,2,1,Pellet,Left,40,8,24,0,0.97,20,nan
7/24/2025 16:43:22,1.17.0,FR1,40,3.95,nan,1,Left,Left,41,8,24,0,nan,nan,0.05
