MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/30/2025 17:02:35,1.17.0,PR1,40,4.07,nan,1,Right,Left,0,1,0,0,nan,nan,0.02
7/30/2025 17:03:15,1.17.0,PR1,40,4.07,nan,1,Left,Left,1,1,0,0,nan,nan,0.04
7/30/2025 17:03:17,1.17.0,PR1,40,4.07,1,1,Pellet,Left,1,1,1,1,0.66,nan,nan
7/30/2025 17:03:31,1.17.0,PR1,40,4.07,nan,2,Left,Left,2,1,1,1,nan,nan,0.83
7/30/2025 17:03:51,1.17.0,PR1,40,4.07,nan,2,Left,Left,3,1,1,1,nan,nan,0.15
7/30/2025 17:03:53,1.17.0,PR1,40,4.07,1,2,Pellet,Left,3,1,2,2,0.91,36,nan
7/30/2025 17:34:00,1.17.0,PR1,40,4.07,nan,1,Left,Left,4,1,2,0,nan,nan,0.20
7/30/2025 17:34:01,1.17.0,PR1,40,4.07,1,1,Pellet,Left,4,1,3,1,0.66,1808,nan
7/30/2025 17:34:12,1.17.0,PR1,40,4.07,nan,2,Left,Left,5,1,3,1,nan,nan,0.06
7/30/2025 17:34:27,1.17.0,PR1,40,4.06,nan,2,Left,Left,6,1,3,1,nan,nan,0.43
7/30/2025 17:34:28,1.17.0,PR1,40,4.07,1,2,Pellet,Left,6,1,4,2,0.66,27,nan
7/30/2025 17:34:39,1.17.0,PR1,40,4.07,nan,3,Left,Left,7,1,4,2,nan,nan,0.03
7/30/2025 17:34:40,1.17.0,PR1,40,4.07,nan,3,Left,Left,8,1,4,2,nan,nan,0.00
7/30/2025 17:34:45,1.17.0,PR1,40,4.07,nan,3,Left,Left,9,1,4,2,nan,nan,0.03
7/30/2025 17:34:46,1.17.0,PR1,40,4.07,nan,3,LeftDuringDispense,Left,10,1,4,3,nan,nan,0.04
7/30/2025 17:34:49,1.17.0,PR1,40,4.07,2,3,Pellet,Left,10,1,5,3,0.66,21,nan
7/30/2025 17:35:01,1.17.0,PR1,40,4.07,nan,4,Left,Left,11,1,5,3,nan,nan,0.10
7/30/2025 17:35:05,1.17.0,PR1,40,4.07,nan,4,Left,Left,12,1,5,3,nan,nan,0.52
7/30/2025 17:35:09,1.17.0,PR1,40,4.07,nan,4,Left,Left,13,1,5,3,nan,nan,0.16
7/30/2025 17:35:13,1.17.0,PR1,40,4.06,nan,4,Left,Left,14,1,5,3,nan,nan,0.45
7/30/2025 17:35:13,1.17.0,PR1,40,4.07,nan,4,LeftDuringDispense,Left,15,1,5,4,nan,nan,0.04
7/30/2025 17:35:16,1.17.0,PR1,40,4.07,2,4,Pellet,Left,15,1,6,4,0.66,27,nan
7/30/2025 17:35:28,1.17.0,PR1,40,4.07,nan,5,Left,Left,16,1,6,4,nan,nan,0.01
7/30/2025 17:35:29,1.17.0,PR1,40,4.07,nan,5,Left,Left,17,1,6,4,nan,nan,0.52
7/30/2025 17:35:30,1.17.0,PR1,40,4.07,nan,5,Left,Left,18,1,6,4,nan,nan,0.04
7/30/2025 17:35:37,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,2,6,4,nan,nan,0.07
7/30/2025 17:35:38,1.17.0,PR1,40,4.06,nan,5,Right,Left,18,3,6,4,nan,nan,0.37
7/30/2025 17:35:39,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,4,6,4,nan,nan,0.38
7/30/2025 17:35:43,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,5,6,4,nan,nan,0.58
7/30/2025 17:35:45,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,6,6,4,nan,nan,0.40
7/30/2025 17:35:52,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,7,6,4,nan,nan,0.47
7/30/2025 17:35:58,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,8,6,4,nan,nan,0.07
7/30/2025 17:35:58,1.17.0,PR1,40,4.07,nan,5,Right,Left,18,9,6,4,nan,nan,0.02
7/30/2025 17:36:01,1.17.0,PR1,40,4.06,nan,5,Right,Left,18,10,6,4,nan,nan,0.25
7/30/2025 17:36:08,1.17.0,PR1,40,4.07,nan,5,Left,Left,19,10,6,4,nan,nan,0.08
7/30/2025 17:36:12,1.17.0,PR1,40,4.07,nan,5,Right,Left,19,11,6,4,nan,nan,0.05
7/30/2025 17:52:12,1.17.0,PR1,40,4.06,nan,5,Left,Left,20,11,6,4,nan,nan,0.21
7/30/2025 17:52:12,1.17.0,PR1,40,4.06,nan,5,LeftDuringDispense,Left,21,11,6,5,nan,nan,0.08
7/30/2025 17:52:16,1.17.0,PR1,40,4.07,2,5,Pellet,Left,21,11,7,5,0.79,1020,nan
7/30/2025 17:52:36,1.17.0,PR1,40,4.06,nan,6,Left,Left,22,11,7,5,nan,nan,0.07
7/30/2025 17:52:40,1.17.0,PR1,40,4.06,nan,6,Left,Left,23,11,7,5,nan,nan,0.56
7/30/2025 17:52:41,1.17.0,PR1,40,4.07,nan,6,Left,Left,24,11,7,5,nan,nan,0.02
7/30/2025 17:52:42,1.17.0,PR1,40,4.07,nan,6,Left,Left,25,11,7,5,nan,nan,0.00
7/30/2025 17:52:46,1.17.0,PR1,40,4.07,nan,6,Right,Left,25,12,7,5,nan,nan,0.37
7/30/2025 17:52:47,1.17.0,PR1,40,4.06,nan,6,Right,Left,25,13,7,5,nan,nan,0.39
7/30/2025 17:52:51,1.17.0,PR1,40,4.07,nan,6,Right,Left,25,14,7,5,nan,nan,0.58
7/30/2025 17:52:57,1.17.0,PR1,40,4.06,nan,6,Left,Left,26,14,7,5,nan,nan,0.09
7/30/2025 17:52:57,1.17.0,PR1,40,4.07,nan,6,Left,Left,27,14,7,5,nan,nan,0.04
7/30/2025 17:52:58,1.17.0,PR1,40,4.07,nan,6,LeftDuringDispense,Left,28,14,7,6,nan,nan,0.04
7/30/2025 17:52:59,1.17.0,PR1,40,4.07,nan,6,LeftDuringDispense,Left,29,14,7,6,nan,nan,0.71
7/30/2025 17:53:02,1.17.0,PR1,40,4.07,2,6,Pellet,Left,29,14,8,6,0.98,46,nan
7/30/2025 17:53:15,1.17.0,PR1,40,4.07,nan,7,Right,Left,29,15,8,6,nan,nan,0.06
7/30/2025 17:53:20,1.17.0,PR1,40,4.06,nan,7,Left,Left,30,15,8,6,nan,nan,0.73
7/30/2025 17:53:22,1.17.0,PR1,40,4.07,nan,7,Left,Left,31,15,8,6,nan,nan,0.95
7/30/2025 17:53:28,1.17.0,PR1,40,4.07,nan,7,Left,Left,32,15,8,6,nan,nan,0.71
7/30/2025 17:53:31,1.17.0,PR1,40,4.07,nan,7,Left,Left,33,15,8,6,nan,nan,0.88
7/30/2025 17:53:34,1.17.0,PR1,40,4.07,nan,7,Left,Left,34,15,8,6,nan,nan,0.57
7/30/2025 17:53:38,1.17.0,PR1,40,4.06,nan,7,Right,Left,34,16,8,6,nan,nan,0.17
7/30/2025 17:53:39,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,17,8,6,nan,nan,0.35
7/30/2025 17:53:40,1.17.0,PR1,40,4.06,nan,7,Right,Left,34,18,8,6,nan,nan,0.09
7/30/2025 17:53:42,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,19,8,6,nan,nan,0.69
7/30/2025 17:53:43,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,20,8,6,nan,nan,0.16
7/30/2025 17:53:48,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,21,8,6,nan,nan,0.45
7/30/2025 17:53:49,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,22,8,6,nan,nan,0.03
7/30/2025 17:53:50,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,23,8,6,nan,nan,0.43
7/30/2025 17:53:54,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,24,8,6,nan,nan,0.63
7/30/2025 17:53:55,1.17.0,PR1,40,4.07,nan,7,Right,Left,34,25,8,6,nan,nan,0.35
7/30/2025 17:53:58,1.17.0,PR1,40,4.07,nan,7,Left,Left,35,25,8,6,nan,nan,0.50
7/30/2025 17:53:59,1.17.0,PR1,40,4.07,nan,7,Left,Left,36,25,8,6,nan,nan,1.09
7/30/2025 17:54:01,1.17.0,PR1,40,4.07,1,7,Pellet,Left,36,25,9,7,1.23,59,nan
7/30/2025 17:54:22,1.17.0,PR1,40,4.06,nan,8,Left,Left,37,25,9,7,nan,nan,0.09
7/30/2025 17:54:24,1.17.0,PR1,40,4.07,nan,8,Left,Left,38,25,9,7,nan,nan,0.60
7/30/2025 17:54:30,1.17.0,PR1,40,4.07,nan,8,Left,Left,39,25,9,7,nan,nan,0.14
7/30/2025 17:54:31,1.17.0,PR1,40,4.07,nan,8,Left,Left,40,25,9,7,nan,nan,0.00
7/30/2025 17:54:39,1.17.0,PR1,40,4.07,nan,8,Right,Left,40,26,9,7,nan,nan,0.60
7/30/2025 17:54:43,1.17.0,PR1,40,4.07,nan,8,Left,Left,41,26,9,7,nan,nan,0.59
7/30/2025 17:54:50,1.17.0,PR1,40,4.07,nan,8,Left,Left,42,26,9,7,nan,nan,0.33
7/30/2025 17:54:52,1.17.0,PR1,40,4.07,nan,8,Right,Left,42,27,9,7,nan,nan,0.40
7/30/2025 17:54:53,1.17.0,PR1,40,4.07,nan,8,Right,Left,42,28,9,7,nan,nan,0.00
7/30/2025 17:54:54,1.17.0,PR1,40,4.07,nan,8,Right,Left,42,29,9,7,nan,nan,0.41
7/30/2025 17:55:00,1.17.0,PR1,40,4.07,nan,8,Right,Left,42,30,9,7,nan,nan,0.06
7/30/2025 17:55:02,1.17.0,PR1,40,4.07,nan,8,Right,Left,42,31,9,7,nan,nan,0.40
7/30/2025 17:55:19,1.17.0,PR1,40,4.06,nan,8,Right,Left,42,32,9,7,nan,nan,0.07
7/30/2025 17:55:28,1.17.0,PR1,40,4.07,nan,8,Left,Left,43,32,9,7,nan,nan,0.41
7/30/2025 17:55:51,1.17.0,PR1,40,4.07,nan,8,Left,Left,44,32,9,7,nan,nan,0.57
7/30/2025 17:55:53,1.17.0,PR1,40,4.06,1,8,Pellet,Left,44,32,10,8,0.85,112,nan
7/30/2025 17:56:12,1.17.0,PR1,40,4.07,nan,9,Right,Left,44,33,10,8,nan,nan,0.25
7/30/2025 17:56:13,1.17.0,PR1,40,4.06,nan,9,Right,Left,44,34,10,8,nan,nan,0.40
7/30/2025 17:56:15,1.17.0,PR1,40,4.06,nan,9,Right,Left,44,35,10,8,nan,nan,0.13
7/30/2025 17:56:20,1.17.0,PR1,40,4.07,nan,9,Left,Left,45,35,10,8,nan,nan,0.57
7/30/2025 17:56:24,1.17.0,PR1,40,4.07,nan,9,Left,Left,46,35,10,8,nan,nan,0.52
7/30/2025 17:56:27,1.17.0,PR1,40,4.07,nan,9,Right,Left,46,36,10,8,nan,nan,0.15
7/30/2025 17:56:29,1.17.0,PR1,40,4.07,nan,9,Right,Left,46,37,10,8,nan,nan,0.24
7/30/2025 17:56:37,1.17.0,PR1,40,4.07,nan,9,Right,Left,46,38,10,8,nan,nan,0.12
7/30/2025 17:56:38,1.17.0,PR1,40,4.07,nan,9,Right,Left,46,39,10,8,nan,nan,0.15
7/30/2025 17:56:39,1.17.0,PR1,40,4.07,nan,9,Right,Left,46,40,10,8,nan,nan,0.37
7/30/2025 17:56:40,1.17.0,PR1,40,4.07,nan,9,Right,Left,46,41,10,8,nan,nan,0.10
7/30/2025 17:56:47,1.17.0,PR1,40,4.07,nan,9,Left,Left,47,41,10,8,nan,nan,0.36
7/30/2025 17:56:48,1.17.0,PR1,40,4.07,nan,9,Left,Left,48,41,10,8,nan,nan,0.31
7/30/2025 17:57:14,1.17.0,PR1,40,4.07,nan,9,Right,Left,48,42,10,8,nan,nan,0.06
7/30/2025 17:57:16,1.17.0,PR1,40,4.07,nan,9,Right,Left,48,43,10,8,nan,nan,0.13
7/30/2025 17:57:18,1.17.0,PR1,40,4.07,nan,9,Right,Left,48,44,10,8,nan,nan,0.47
7/30/2025 17:57:19,1.17.0,PR1,40,4.07,nan,9,Right,Left,48,45,10,8,nan,nan,0.10
7/30/2025 17:57:21,1.17.0,PR1,40,4.07,nan,9,Right,Left,48,46,10,8,nan,nan,0.48
7/30/2025 17:57:25,1.17.0,PR1,40,4.06,nan,9,Left,Left,49,46,10,8,nan,nan,0.40
7/30/2025 17:57:30,1.17.0,PR1,40,4.07,nan,9,Right,Left,49,47,10,8,nan,nan,0.04
7/30/2025 17:57:43,1.17.0,PR1,40,4.07,nan,9,Left,Left,50,47,10,8,nan,nan,0.44
7/30/2025 18:08:25,1.17.0,PR1,40,4.07,nan,9,Right,Left,50,48,10,8,nan,nan,0.00
7/30/2025 18:08:34,1.17.0,PR1,40,4.07,nan,9,Left,Left,51,48,10,8,nan,nan,0.09
7/30/2025 18:08:45,1.17.0,PR1,40,4.06,nan,9,Right,Left,51,49,10,8,nan,nan,0.01
7/30/2025 18:08:48,1.17.0,PR1,40,4.07,nan,9,Right,Left,51,50,10,8,nan,nan,0.34
7/30/2025 18:08:50,1.17.0,PR1,40,4.07,nan,9,Right,Left,51,51,10,8,nan,nan,0.16
7/30/2025 18:08:51,1.17.0,PR1,40,4.07,nan,9,Right,Left,51,52,10,8,nan,nan,0.00
7/30/2025 18:08:53,1.17.0,PR1,40,4.07,nan,9,Right,Left,51,53,10,8,nan,nan,0.10
7/30/2025 18:08:57,1.17.0,PR1,40,4.07,nan,9,Left,Left,52,53,10,8,nan,nan,0.43
7/30/2025 18:08:59,1.17.0,PR1,40,4.07,nan,9,Left,Left,53,53,10,8,nan,nan,0.48
7/30/2025 18:09:00,1.17.0,PR1,40,4.07,1,9,Pellet,Left,53,53,11,9,0.66,787,nan
7/30/2025 18:09:20,1.17.0,PR1,40,4.07,nan,10,Right,Left,53,54,11,9,nan,nan,0.02
7/30/2025 18:09:21,1.17.0,PR1,40,4.07,nan,10,Right,Left,53,55,11,9,nan,nan,0.06
7/30/2025 18:09:22,1.17.0,PR1,40,4.07,nan,10,Right,Left,53,56,11,9,nan,nan,0.11
7/30/2025 18:09:23,1.17.0,PR1,40,4.06,nan,10,Right,Left,53,57,11,9,nan,nan,0.00
7/30/2025 18:09:41,1.17.0,PR1,40,4.07,nan,10,Left,Left,54,57,11,9,nan,nan,0.38
7/30/2025 18:09:43,1.17.0,PR1,40,4.07,nan,10,Left,Left,55,57,11,9,nan,nan,0.20
7/30/2025 18:09:50,1.17.0,PR1,40,4.07,nan,10,Right,Left,55,58,11,9,nan,nan,0.01
7/30/2025 18:09:51,1.17.0,PR1,40,4.07,nan,10,Right,Left,55,59,11,9,nan,nan,0.07
7/30/2025 18:09:53,1.17.0,PR1,40,4.07,nan,10,Right,Left,55,60,11,9,nan,nan,0.45
7/30/2025 18:11:09,1.17.0,PR1,40,4.07,nan,10,Left,Left,56,60,11,9,nan,nan,0.48
7/30/2025 18:11:11,1.17.0,PR1,40,4.07,nan,10,Left,Left,57,60,11,9,nan,nan,0.02
7/30/2025 18:11:13,1.17.0,PR1,40,4.07,nan,10,Left,Left,58,60,11,9,nan,nan,0.39
7/30/2025 18:11:15,1.17.0,PR1,40,4.06,nan,10,Left,Left,59,60,11,9,nan,nan,0.41
7/30/2025 18:11:16,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,61,11,9,nan,nan,0.08
7/30/2025 18:11:18,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,62,11,9,nan,nan,0.48
7/30/2025 18:11:18,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,63,11,9,nan,nan,0.00
7/30/2025 18:11:20,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,64,11,9,nan,nan,0.35
7/30/2025 18:11:21,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,65,11,9,nan,nan,0.04
7/30/2025 18:11:23,1.17.0,PR1,40,4.06,nan,10,Right,Left,59,66,11,9,nan,nan,0.11
7/30/2025 18:11:32,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,67,11,9,nan,nan,0.35
7/30/2025 18:11:33,1.17.0,PR1,40,4.07,nan,10,Right,Left,59,68,11,9,nan,nan,0.30
